ORIGIN,DEST,COUNT
ACY,FLL,873.0
ACY,MCO,863.0
ACY,PBI,169.0
ACY,RSW,526.0
ACY,TPA,404.0
ALB,FLL,635.0
ALB,MCO,1084.0
ALB,TPA,445.0
ATL,DAB,1639.0
ATL,ECP,2032.0
ATL,EYW,1584.0
ATL,FLL,7928.0
ATL,GNV,1474.0
ATL,JAX,5480.0
ATL,MCO,9072.0
ATL,MIA,5635.0
ATL,MLB,1497.0
ATL,PBI,4539.0
ATL,PNS,2506.0
ATL,RSW,3929.0
ATL,SRQ,2067.0
ATL,TLH,2079.0
ATL,TPA,7267.0
ATL,VPS,2241.0
AUS,FLL,1084.0
AUS,MCO,1191.0
AUS,TPA,424.0
BDL,FLL,1338.0
BDL,MCO,2074.0
BDL,MIA,359.0
BDL,PBI,379.0
BDL,RSW,566.0
BDL,TPA,1155.0
BHM,MCO,737.0
BHM,TPA,683.0
BNA,ECP,720.0
BNA,FLL,1584.0
BNA,JAX,957.0
BNA,MCO,1771.0
BNA,MIA,131.0
BNA,PNS,717.0
BNA,RSW,183.0
BNA,TPA,1327.0
BOS,FLL,2789.0
BOS,JAX,760.0
BOS,MCO,4280.0
BOS,MIA,2495.0
BOS,PBI,1876.0
BOS,RSW,2225.0
BOS,SRQ,240.0
BOS,TPA,2116.0
BQN,FLL,516.0
BQN,MCO,440.0
BUF,FLL,848.0
BUF,MCO,1577.0
BUF,RSW,122.0
BUF,TPA,616.0
BWI,ECP,176.0
BWI,FLL,5106.0
BWI,JAX,1239.0
BWI,MCO,4321.0
BWI,MIA,1019.0
BWI,PBI,1118.0
BWI,RSW,1721.0
BWI,TPA,3075.0
CAK,FLL,191.0
CAK,MCO,368.0
CHS,FLL,366.0
CLE,FLL,855.0
CLE,MCO,1367.0
CLE,RSW,732.0
CLE,TPA,535.0
CLT,FLL,2486.0
CLT,JAX,1967.0
CLT,MCO,3459.0
CLT,MIA,2895.0
CLT,PBI,1770.0
CLT,RSW,1674.0
CLT,TPA,3167.0
CMH,FLL,321.0
CMH,MCO,1485.0
CMH,RSW,651.0
CMH,TPA,785.0
COS,MCO,363.0
CVG,FLL,440.0
CVG,MCO,1165.0
CVG,RSW,459.0
CVG,TPA,420.0
DAB,JFK,365.0
DAL,ECP,262.0
DAL,FLL,751.0
DAL,MCO,1237.0
DAL,TPA,771.0
DCA,FLL,2882.0
DCA,JAX,741.0
DCA,MCO,3900.0
DCA,MIA,3271.0
DCA,PBI,1027.0
DCA,RSW,784.0
DCA,TPA,2342.0
DEN,FLL,1515.0
DEN,JAX,372.0
DEN,MCO,3353.0
DEN,MIA,1460.0
DEN,RSW,309.0
DEN,TPA,2132.0
DFW,FLL,2683.0
DFW,JAX,1016.0
DFW,MCO,3858.0
DFW,MIA,3955.0
DFW,PBI,832.0
DFW,PNS,183.0
DFW,RSW,1020.0
DFW,TPA,2587.0
DFW,VPS,512.0
DTW,FLL,2924.0
DTW,MCO,3315.0
DTW,MIA,1872.0
DTW,PBI,361.0
DTW,RSW,1761.0
DTW,TPA,2249.0
ECP,HOU,404.0
ECP,IAH,657.0
ECP,STL,173.0
EGE,MIA,119.0
EWR,FLL,6189.0
EWR,JAX,521.0
EWR,MCO,7295.0
EWR,MIA,2888.0
EWR,PBI,3346.0
EWR,RSW,2108.0
EWR,SRQ,136.0
EWR,TPA,2710.0
FLL,HOU,763.0
FLL,HPN,729.0
FLL,IAD,777.0
FLL,IAG,213.0
FLL,IAH,1946.0
FLL,IND,438.0
FLL,ISP,571.0
FLL,JAX,1089.0
FLL,JFK,4114.0
FLL,LAS,1095.0
FLL,LAX,1921.0
FLL,LBE,321.0
FLL,LGA,5280.0
FLL,LGB,243.0
FLL,MCI,434.0
FLL,MCO,1738.0
FLL,MDW,1392.0
FLL,MKE,233.0
FLL,MSP,656.0
FLL,MSY,1737.0
FLL,MYR,405.0
FLL,ORD,3256.0
FLL,ORH,365.0
FLL,PBG,230.0
FLL,PHL,2769.0
FLL,PHX,372.0
FLL,PIT,983.0
FLL,PVD,869.0
FLL,RDU,1034.0
FLL,RIC,565.0
FLL,SAN,311.0
FLL,SEA,451.0
FLL,SFO,1600.0
FLL,SJU,2941.0
FLL,STL,674.0
FLL,STT,299.0
FLL,SWF,365.0
FLL,SYR,168.0
FLL,TPA,2203.0
FLL,TTN,140.0
GRR,MCO,177.0
GRR,RSW,124.0
GRR,TPA,126.0
HOU,JAX,382.0
HOU,MCO,1584.0
HOU,PNS,368.0
HOU,TPA,1067.0
HPN,MCO,1213.0
HPN,PBI,1286.0
HPN,RSW,363.0
HPN,TPA,365.0
IAD,MCO,2154.0
IAD,MIA,598.0
IAD,TPA,1034.0
IAG,MCO,192.0
IAH,JAX,567.0
IAH,MCO,2776.0
IAH,MIA,2396.0
IAH,PBI,172.0
IAH,PNS,1068.0
IAH,RSW,576.0
IAH,TPA,1981.0
IAH,VPS,828.0
IND,MCO,1557.0
IND,RSW,852.0
IND,TPA,981.0
ISP,MCO,1320.0
ISP,MIA,127.0
ISP,PBI,827.0
ISP,TPA,600.0
JAX,JFK,1071.0
JAX,MDW,365.0
JAX,MSP,175.0
JAX,ORD,271.0
JAX,PHL,286.0
JFK,MCO,5176.0
JFK,MIA,3633.0
JFK,PBI,1765.0
JFK,RSW,1109.0
JFK,SRQ,365.0
JFK,TPA,2704.0
LAS,MCO,1115.0
LAS,MIA,1393.0
LAS,TPA,1041.0
LAX,MCO,3340.0
LAX,MIA,3127.0
LAX,TPA,399.0
LBE,MCO,356.0
LGA,MCO,4072.0
LGA,MIA,6130.0
LGA,PBI,2797.0
LGA,RSW,389.0
LGA,SRQ,126.0
LGA,TPA,1791.0
MCI,MCO,1388.0
MCI,RSW,162.0
MCI,TPA,520.0
MCO,MDW,2871.0
MCO,MEM,532.0
MCO,MHT,760.0
MCO,MIA,3012.0
MCO,MKE,1520.0
MCO,MSP,2015.0
MCO,MSY,1695.0
MCO,OMA,198.0
MCO,ORD,4825.0
MCO,ORF,429.0
MCO,ORH,365.0
MCO,PBG,173.0
MCO,PDX,291.0
MCO,PHL,5025.0
MCO,PHX,1467.0
MCO,PIT,1863.0
MCO,PSE,433.0
MCO,PVD,2251.0
MCO,RDU,1171.0
MCO,RIC,762.0
MCO,ROC,411.0
MCO,SAN,980.0
MCO,SAT,555.0
MCO,SDF,425.0
MCO,SEA,903.0
MCO,SFO,1449.0
MCO,SJU,3996.0
MCO,SLC,1342.0
MCO,STL,1928.0
MCO,SWF,365.0
MCO,SYR,365.0
MCO,TTN,500.0
MDW,RSW,1241.0
MDW,TPA,1649.0
MEM,TPA,363.0
MHT,TPA,466.0
MIA,MSP,760.0
MIA,MSY,952.0
MIA,ORD,4779.0
MIA,PHL,2399.0
MIA,PHX,1083.0
MIA,RDU,1100.0
MIA,SAN,599.0
MIA,SAT,336.0
MIA,SEA,463.0
MIA,SFO,1713.0
MIA,SJU,2308.0
MIA,SLC,294.0
MIA,STL,683.0
MIA,STT,1003.0
MIA,STX,609.0
MIA,TPA,1891.0
MKE,RSW,453.0
MKE,TPA,640.0
MSP,RSW,1127.0
MSP,TPA,1050.0
MSY,TPA,1141.0
ORD,PBI,677.0
ORD,PNS,212.0
ORD,RSW,2337.0
ORD,SRQ,180.0
ORD,TPA,2728.0
PBI,PHL,1168.0
PBI,TTN,165.0
PGD,TTN,110.0
PHL,RSW,1013.0
PHL,TPA,2428.0
PHX,TPA,1227.0
PIT,RSW,501.0
PIT,TPA,861.0
PVD,RSW,121.0
PVD,TPA,695.0
RDU,TPA,889.0
ROC,TPA,344.0
RSW,STL,724.0
SAT,TPA,381.0
SDF,TPA,433.0
SEA,TPA,365.0
SFO,TPA,319.0
SJU,TPA,999.0
STL,TPA,842.0
TPA,TTN,186.0
